COMMUNAUTÉ DE COMMUNES CALVI — BALAGNE	COMMUNAUTÉ DE COMMUNES CALVI-BALAGNE	97
RPA DREAL LANGUEDOC-ROUSSILLON — MIDI-PYRÉNÉES	RPA DREAL LANGUEDOC-ROUSSILLON-MIDI-PYRÉNÉES	98
NIEVRE HABITAT	NIÈVRE HABITAT	96
ANDRA (AGENCE NATIONALE POUR LA GESTION DES DÉCHETS RADIOACTIFS)	ANDRA — AGENCE NATIONALE POUR LA GESTION DES DÉCHETS RADIOACTIFS	99
OFFICE NATIONAL DES FORÊTS	OFFICE NATIONAL DES FORETS	98
MINISTÈRE ÉCONOMIE, INDUSTRIE, EMPLOI	MINISTÈRE ÉCONOMIE INDUSTRIE EMPLOI	97
PARIS, TERRES D'ENVOL	PARIS TERRES D'ENVOL	98
SOCIÉTÉ AÉROPORT MARSEILLE PROVENCE	SOCIÉTÉ AEROPORT MARSEILLE PROVENCE	98
EDF — DIRECTION DES ACHATS — AGENCE RÉGIONALE ACHATS PRODUCTION NORD-OUEST (ARAP NO)	EDF — DIRECTION DES ACHATS — AGENCE RÉGIONALE ACHATS PRODUCTION NORD-OUEST — (ARAP NO)	99
CHD DE LA CANDÉLIE	CHD DE LA CANDELIE	97
VILLE EUROMÉTROPOLE DE STRASBOURG	VILLE, EUROMÉTROPOLE DE STRASBOURG	98
COMMUNAUTÉ COMMUNES DU PAYS DE FAYENCE	COMMUNAUTÉ DE COMMUNES DU PAYS DE FAYENCE	96
COMMUNAUTÉ D'AGGLOMÉRATION DE SAINT OMER	COMMUNAUTÉ D'AGGLOMÉRATION DE SAINT-OMER	100
COMMUNAUTÉ DE COMMUNES COEUR DE LOZÈRE	COMMUNAUTÉ DE COMMUNES CŒUR DE LOZÈRE	96
SYNDICAT MIXTE NORD DAUPHINE	SYNDICAT MIXTE NORD DAUPHINÉ	98
CENTRE HOSPITALIER DES PYRÉNÉES	CENTRE HOSPITALIER DES PYRNES	100
UGECAM RHÔNE-ALPES	UGECAM RHÔNE ALPES	100
COLLECTIVITÉ DE SAINT-MARTIN	COLLECTIVITÉ DE SAINT MARTIN	100
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS	ASSISTANCE PUBLIQUE HÔPITAUX DE PARIS	99
IMMOBILIÈRE ATLANTIC AMENAGEMENT	IMMOBILIÈRE ATLANTIC AMÉNAGEMENT	98
CPAM DU VAL-DE-MARNE	CPAM DU VAL DE MARNE	100
COMMUNAUTÉ D'AGGLOMÉRATION DU BASSIN DE THAU	COMMUNAUTTÉ D'AGGLOMÉRATION DU BASSIN DE THAU	99
GIP GENOPOLE	GIP GÉNOPOLE	96
UGECAM NORD PAS-DE-CALAIS-PICARDIE	UGECAM NORD-PAS-DE-CALAIS — PICARDIE	97
CA CHALON VAL DE BOURGOGNE	CA CHALON-VAL DE BOURGOGNE	100
